PACKET_ID,SEGMENT_ID,PACKET_TYPE,CONTROL_PACKET_TYPE/APP_NAME,SOURCE_ID,DESTINATION_ID,TRANSMITTER_ID,RECEIVER_ID,APP_LAYER_ARRIVAL_TIME(US),TRX_LAYER_ARRIVAL_TIME(US),NW_LAYER_ARRIVAL_TIME(US),MAC_LAYER_ARRIVAL_TIME(US),PHY_LAYER_ARRIVAL_TIME(US),PHY_LAYER_START_TIME(US),PHY_LAYER_END_TIME(US),APP_LAYER_PAYLOAD(Bytes),TRX_LAYER_PAYLOAD(Bytes),NW_LAYER_PAYLOAD(Bytes),MAC_LAYER_PAYLOAD(Bytes),PHY_LAYER_PAYLOAD(Bytes),PHY_LAYER_OVERHEAD(Bytes),PACKET_STATUS,SOURCE_IP,DESTINATION_IP,GATEWAY_IP,NEXT_HOP_IP,
0,N/A,Control_Packet,ARP_Request,NODE-2,Broadcast-0,NODE-2,SWITCH-5,N/A,N/A,20000.000,20000.000,20000.000,20007.040,20012.040,N/A,N/A,42.000,62.000,88.000,0.000,Successful,11.1.1.2,255.255.255.255,-,-,
0,N/A,Control_Packet,ARP_Request,NODE-2,Broadcast-0,SWITCH-5,ROUTER-1,N/A,N/A,20000.000,20000.000,20012.040,20019.080,20024.080,N/A,N/A,42.000,62.000,88.000,0.000,Successful,11.1.1.2,255.255.255.255,-,-,
0,N/A,Control_Packet,ARP_Reply,ROUTER-1,NODE-2,ROUTER-1,SWITCH-5,N/A,N/A,20024.080,20024.080,20024.080,20031.120,20036.120,N/A,N/A,42.000,62.000,88.000,0.000,Successful,11.1.1.1,11.1.1.2,-,-,
0,N/A,Control_Packet,ARP_Reply,ROUTER-1,NODE-2,SWITCH-5,NODE-2,N/A,N/A,20024.080,20024.080,20036.120,20043.160,20048.160,N/A,N/A,42.000,62.000,88.000,0.000,Successful,11.1.1.1,11.1.1.2,-,-,
1,0,CBR,APP1_CBR,NODE-2,NODE-3,NODE-2,SWITCH-5,20000.000,20000.000,20000.000,20048.160,20048.160,20169.280,20174.280,1460.000,1460.000,1468.000,1488.000,1514.000,0.000,Successful,11.1.1.2,11.1.1.1,11.1.1.2,11.1.1.1,
1,0,CBR,APP1_CBR,NODE-2,NODE-3,SWITCH-5,ROUTER-1,20000.000,20000.000,20000.000,20048.160,20174.280,20295.400,20300.400,1460.000,1460.000,1468.000,1488.000,1514.000,0.000,Successful,11.1.1.2,11.1.1.1,11.1.1.2,11.1.1.1,
0,N/A,Control_Packet,ARP_Request,ROUTER-1,Broadcast-0,ROUTER-1,SWITCH-6,N/A,N/A,20300.400,20300.400,20300.400,20307.440,20312.440,N/A,N/A,42.000,62.000,88.000,0.000,Successful,11.2.1.1,255.255.255.255,-,-,
0,N/A,Control_Packet,ARP_Request,ROUTER-1,Broadcast-0,SWITCH-6,NODE-3,N/A,N/A,20300.400,20300.400,20312.440,20319.480,20324.480,N/A,N/A,42.000,62.000,88.000,0.000,Successful,11.2.1.1,255.255.255.255,-,-,
0,N/A,Control_Packet,ARP_Request,ROUTER-1,Broadcast-0,SWITCH-6,NODE-4,N/A,N/A,20300.400,20300.400,20312.440,20319.480,20324.480,N/A,N/A,42.000,62.000,88.000,0.000,Successful,11.2.1.1,255.255.255.255,-,-,
0,N/A,Control_Packet,ARP_Reply,NODE-3,ROUTER-1,NODE-3,SWITCH-6,N/A,N/A,20324.480,20324.480,20324.480,20331.520,20336.520,N/A,N/A,42.000,62.000,88.000,0.000,Successful,11.2.1.2,11.2.1.1,-,-,
0,N/A,Control_Packet,ARP_Reply,NODE-3,ROUTER-1,SWITCH-6,ROUTER-1,N/A,N/A,20324.480,20324.480,20336.520,20343.560,20348.560,N/A,N/A,42.000,62.000,88.000,0.000,Successful,11.2.1.2,11.2.1.1,-,-,
1,0,CBR,APP1_CBR,NODE-2,NODE-3,ROUTER-1,SWITCH-6,20000.000,20000.000,20300.400,20348.560,20348.560,20469.680,20474.680,1460.000,1460.000,1468.000,1488.000,1514.000,0.000,Successful,11.1.1.2,11.2.1.2,11.2.1.1,11.2.1.2,
